Dosya Adı,Etiket,SRO,Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19
NON AI COVER_19_173.wav,NON AI COVER,0.05280725623582767,1276.285782038966,1663.9259249832544,2666.6778564453125,-121.39008,144.02692,-6.579669,35.79325,-10.106023,-4.547474,2.6874716,11.765428,-19.60455,7.762754,-4.6988716,-4.478819,11.972401,9.374218,-6.883027,-1.5107515,-8.766552,-3.3810132,-11.136225,3.6576457
NON AI COVER_18_52.wav,NON AI COVER,0.12195918367346939,2186.424814295113,2279.158389966109,4749.86572265625,-203.41309,112.80098,-18.260494,30.91267,3.2430618,20.474888,-9.297947,13.141279,1.3959602,3.1892722,4.570294,-2.7924917,2.640437,4.966269,-3.2002077,11.387813,-5.457001,10.566948,-12.253273,12.199506
NON AI COVER_17_31.wav,NON AI COVER,0.13109297052154195,2641.820020695162,2623.6230595371057,5392.1234130859375,-32.264225,74.7984,-9.826719,26.317184,10.690864,-6.808962,7.2456913,-4.7968473,-4.9174433,8.529515,-0.44385993,4.8499646,-1.1034448,-2.8653188,-4.66544,0.69957167,-6.979612,1.3980803,-2.7475615,-1.4440582
NON AI COVER_24_286.wav,NON AI COVER,0.10321995464852608,2268.3992508103092,2392.4869553803574,4862.3667399088545,-86.9412,92.836876,-10.190271,35.75408,0.21981114,10.532514,-5.787736,2.9815464,-11.690448,3.1225603,-7.917575,3.3012202,-4.352703,1.4696108,-7.618322,1.1103408,-7.3705525,-4.7994823,-12.12166,-1.9645287
NON AI COVER_17_29.wav,NON AI COVER,0.1312562358276644,2706.5587981247086,2744.4893277779315,5770.4498291015625,-35.787346,74.18496,-6.0680914,25.26484,18.68411,-7.55359,5.937997,-2.825583,1.0599736,8.440514,-4.9258018,5.5789275,0.23345834,-1.863359,-3.7685068,2.2885778,-8.323258,1.373228,-3.440466,-3.8750932
NON AI COVER_19_169.wav,NON AI COVER,0.07155555555555555,1682.547366513826,1999.3939621869222,3604.5186360677085,-107.86232,115.944046,-6.207761,36.30193,-5.620243,-3.5394354,-7.933123,10.559692,-20.689123,2.7820935,-10.8696,-2.34082,13.518646,4.3553114,-6.5516105,-5.215903,-10.536145,-2.6574295,-12.670399,4.262249
NON AI COVER_10_204.wav,NON AI COVER,0.15760544217687075,2821.546576638322,2699.6519379999827,6103.367106119792,-136.60403,67.70609,-12.271276,10.155257,6.7422676,18.15516,-5.709491,-1.3931777,-13.711852,3.151409,0.92034453,0.550158,-2.6730723,-2.7973113,-4.1196346,0.75091046,-6.548455,4.3985486,-7.6425037,-1.307227
NON AI COVER_24_289.wav,NON AI COVER,0.10380952380952381,2243.000377712312,2336.0942315454663,4667.8700764973955,-84.52275,93.61364,-15.482416,36.738445,1.0817877,10.670794,-3.2092946,6.7570744,-8.640257,4.3600826,-6.789771,5.4161687,-4.791726,1.7908838,-9.513629,-4.7778378,-10.205159,-2.9199986,-8.097489,3.2913716
NON AI COVER_23_216.wav,NON AI COVER,0.16024489795918367,3135.7349610927117,2569.8745960669626,5920.733642578125,-35.481388,38.14523,-7.6679773,65.55091,13.697026,21.01794,5.7222447,13.444137,-3.061758,2.2551575,4.703775,8.494015,1.683164,-2.842088,-2.106443,-0.27771643,-1.8140684,0.9341054,-3.8426256,0.5367146
NON AI COVER_8_215.wav,NON AI COVER,0.12847165532879817,3137.592451627614,2750.1222070781137,6328.668212890625,-0.070052534,58.811142,-2.7410572,19.352346,-5.9036517,7.626087,-3.0805156,1.5382166,-0.87228405,11.5969715,1.1231799,11.50371,6.691792,3.3851855,-1.8393537,0.58617276,-1.6091812,4.073976,-4.921795,2.3173692
NON AI COVER_10_91.wav,NON AI COVER,0.1116734693877551,2235.465663930623,2333.4488496462127,4710.587565104167,-134.92902,95.384094,-14.358486,23.783266,0.52671474,8.178024,-10.645135,0.074528165,-2.0499601,-0.37545788,-0.6153942,-0.396248,-2.7108197,2.1573012,-7.539093,-1.4442222,-4.0340037,3.2561917,-11.198126,-1.7386711
NON AI COVER_18_12.wav,NON AI COVER,0.15766893424036282,2634.484133940625,2320.6563987809495,5142.24853515625,-90.35824,80.039024,-22.727934,29.45059,-16.045866,11.868279,0.15340325,5.738101,-8.89261,1.7769167,0.9317008,1.6928779,-3.3336658,-0.8316731,-1.1629937,1.4684343,-3.3083134,4.4879203,-1.2372148,1.642746
NON AI COVER_19_78.wav,NON AI COVER,0.0930249433106576,2696.3980623305347,3038.1597119803173,6411.2620035807295,-59.941788,82.17822,29.797531,12.471196,15.6258955,-2.9220738,-5.209772,1.8787165,-7.973862,0.6232547,2.6980128,-6.9114566,-4.863376,-2.5529392,-2.7625103,5.0029817,-1.1147894,6.2256846,6.687821,1.8535024
NON AI COVER_19_40.wav,NON AI COVER,0.09648072562358277,1893.5200403035344,2225.369646743447,3945.8597819010415,-61.34622,105.293465,3.181936,24.7775,1.8497232,2.574724,-0.8492758,8.843556,10.156974,14.919597,-13.576805,-11.42086,-13.035814,7.3508177,9.138845,10.838494,-0.6978551,1.1121036,-8.327724,0.20835835
NON AI COVER_19_62.wav,NON AI COVER,0.17322448979591837,3303.1349971678856,2830.361030912183,6621.559651692708,-132.40996,54.87322,6.445587,26.969564,6.5258493,14.530261,-2.429609,13.656819,4.6018867,2.6371157,-0.62094575,2.4540496,-2.365334,3.3128297,-2.8235357,3.019061,-3.863972,-0.037243243,-2.135836,1.9792429
NON AI COVER_17_5.wav,NON AI COVER,0.0585124716553288,1425.001979284193,1948.8220427774786,3039.421590169271,-291.14624,145.53485,16.239956,12.5400505,17.887253,12.532423,6.348627,4.956985,0.09928276,3.309291,-7.368737,6.2411904,-2.630084,-0.33748114,-15.0830145,-1.2983078,2.7633672,13.8216305,0.22679605,-0.42177674
NON AI COVER_19_145.wav,NON AI COVER,0.09988208616780045,2009.606616205651,2159.252751866264,4088.31787109375,-98.11666,98.41231,-16.72801,22.534546,9.2777815,25.938059,14.782113,11.899904,4.902396,10.315029,-7.0825615,3.5736806,-5.705416,-1.3966093,-11.458505,0.9588086,-1.6700219,3.6390347,-11.154848,-9.981615
NON AI COVER_18_29.wav,NON AI COVER,0.10104308390022676,3076.0455305131927,3015.17930117134,7174.9928792317705,-176.23116,49.32028,10.684278,9.9366865,-7.4726596,-7.6961794,5.8312573,0.01717963,-14.297929,3.676868,-11.079215,5.628549,4.5379477,11.426153,8.171491,12.234167,-2.3061993,1.0849355,-12.766945,-7.866648
NON AI COVER_18_8.wav,NON AI COVER,0.19590022675736962,3121.356525706802,2404.433920222402,5893.2688395182295,-204.64171,40.226715,-4.2342567,34.670696,-4.307158,12.176331,-5.9209204,12.920589,-2.6537495,5.7339287,1.4962115,3.712624,-1.7082068,-4.686817,-4.4920535,0.7127285,-3.9368105,-4.8361197,0.011103409,5.850442
NON AI COVER_17_89.wav,NON AI COVER,0.2386031746031746,3980.8237714114507,3221.628765363663,8300.351969401041,-50.747757,30.197987,13.611509,23.521545,26.614151,-1.2018577,-2.856352,7.7834625,-5.422289,-1.558375,6.1522827,-1.3769565,6.8282866,4.2943945,-11.877656,0.5193592,-9.60651,-8.262862,-0.8386615,1.1628914
NON AI COVER_9_126.wav,NON AI COVER,0.09908390022675737,2057.533500134706,2180.97577446946,4145.1914469401045,-43.77397,110.28179,-17.632345,17.63943,-2.435048,8.1833,-5.485422,1.89321,-13.296769,2.9067614,-5.0911856,-3.4842062,-3.2361608,2.0204725,-5.5078526,2.669047,-4.501419,-2.16981,-2.9300299,-0.32910734
NON AI COVER_15_40.wav,NON AI COVER,0.114421768707483,2454.2132386698613,2593.252871785176,5292.3329671223955,-103.85346,88.29644,-4.6343603,22.061522,12.676802,-11.366747,0.06309467,11.451772,-22.167185,5.24419,-9.388245,-6.702152,-4.5950284,-2.1298385,-6.9512897,-2.7017903,-4.617306,-3.4718366,-3.7459428,-1.8039796
NON AI COVER_24_123.wav,NON AI COVER,0.11225396825396826,2395.9045514602353,2445.4768322031678,4916.249593098958,-241.07591,85.4376,-20.39326,19.893944,4.1999345,8.2785015,-1.9742644,2.8697727,2.8097992,8.46334,-1.3918065,5.8694177,-1.5808899,-0.4423588,-3.354475,1.8833762,-5.462698,0.20675546,-2.748502,2.9902675
NON AI COVER_8_273.wav,NON AI COVER,0.10243990929705216,2092.0229494420196,2057.6001927350194,3856.586710611979,-104.85646,104.38156,-25.174023,25.682913,3.5326612,-7.352066,2.9741244,-8.188403,2.241078,2.650945,-5.965807,-0.8916957,-4.4323215,0.043725014,-9.806779,-2.7816668,-10.306311,-4.7908335,-8.986501,-6.728597
NON AI COVER_23_326.wav,NON AI COVER,0.13594557823129252,2791.2710336033465,2484.9458504426284,5495.652262369792,-120.53833,44.406414,-12.453117,67.288246,19.446812,14.513494,-0.57424784,15.32687,-1.9277354,0.97497433,2.674819,0.101179466,-7.546324,-3.516727,-3.8032675,1.3344225,-6.234977,-2.2782407,-2.412498,-2.9555142
NON AI COVER_6_5.wav,NON AI COVER,0.09988208616780045,2852.065500446855,2828.8638450717053,6224.0427652994795,26.607676,66.160355,3.1870313,25.71835,2.3723805,17.261812,5.8839936,6.7639217,8.0531,9.918365,-2.150478,3.9285822,-0.015636798,6.179753,0.09959424,5.0807166,-0.34482893,5.2436104,1.2055122,2.7457564
NON AI COVER_23_82.wav,NON AI COVER,0.1499501133786848,2688.526440470997,2308.5300945711724,5117.525227864583,-53.391434,64.73124,-26.518862,58.047062,5.884854,24.325205,10.773372,11.597272,10.614751,4.829044,-0.14763314,11.991716,0.46139047,3.0291438,1.5972604,1.3213248,-6.080874,0.20367517,1.2036102,5.6973596
NON AI COVER_23_207.wav,NON AI COVER,0.10249433106575964,2343.990806442544,2227.7383474676017,4570.023600260417,-122.83169,69.38099,-23.767248,70.6116,12.760331,13.783944,7.517487,7.3054905,0.4588585,3.606076,6.915534,-1.3539368,-5.965861,-9.139298,-9.973881,-10.031306,-18.120224,-9.925554,-10.13485,-8.467315
NON AI COVER_9_173.wav,NON AI COVER,0.1836281179138322,2954.1216097911984,2292.9436330972917,5554.669189453125,-116.866,74.106705,-23.101328,64.35587,-27.803137,19.349998,-19.710844,16.81479,-27.113173,7.3229084,-17.98455,0.20818841,-8.193703,3.6942332,-13.482143,0.3915798,-8.821729,-4.6075854,-9.339287,-0.667989
NON AI COVER_10_191.wav,NON AI COVER,0.12033560090702948,2292.495153879782,2253.283149836254,4590.858968098958,-101.44694,93.608986,-12.859889,41.096878,-3.11797,0.5467052,0.16571385,7.742036,-8.674738,0.7340626,-4.2430325,0.66048545,-4.550967,6.1234345,1.5229379,2.5448823,3.1108186,4.5588813,1.814004,1.292454
NON AI COVER_24_283.wav,NON AI COVER,0.1140498866213152,2233.278032121292,2375.9716574764293,5034.8317464192705,-112.496025,92.187256,0.7511804,28.043592,-9.383813,17.608751,-3.784802,10.545968,-10.847062,13.574899,-2.739549,-0.43434736,-7.6748815,2.9607267,-1.4453673,3.9457822,-13.009484,0.8305698,-2.6552129,-3.3285716
NON AI COVER_24_20.wav,NON AI COVER,0.17723356009070296,2699.443941441994,2243.2761298488563,4805.3436279296875,-292.0039,59.68703,-46.663593,21.269491,9.707493,22.480875,19.873707,4.161505,-2.7042663,10.180443,3.6472654,2.5884917,-1.4285718,-0.094675556,0.03218668,4.4299097,10.042388,11.997896,-3.0489504,0.59913445
NON AI COVER_9_61.wav,NON AI COVER,0.14765532879818594,2295.6622604234126,2109.267601694541,4376.125081380208,-96.01434,97.97115,-42.524124,27.907711,8.578763,8.40163,3.7311995,8.730901,3.7009628,4.744506,5.542697,4.8514767,-2.835434,-3.1375105,-3.4676297,5.415617,-8.2322,8.012128,-8.267036,-4.2873435
NON AI COVER_19_22.wav,NON AI COVER,0.12691156462585035,2443.4725232641686,2280.490289201833,4755.747477213542,-62.70487,71.67299,-27.314674,39.873978,1.9972521,9.937188,-1.0969504,8.48275,-5.250474,-2.081413,-2.3543913,-0.7097396,-1.128665,-4.1605,-10.380093,-1.9555539,-5.029392,1.6373094,-10.799517,-2.877677
NON AI COVER_23_72.wav,NON AI COVER,0.19259863945578232,3630.5083169084683,2926.3053290627163,7212.327067057292,28.328835,37.583195,1.1882012,27.553764,3.346139,14.277629,8.635573,18.816328,2.2856846,11.870208,1.0855306,7.8431363,1.2304846,3.616003,-2.1032314,1.616584,-4.2879186,3.3225496,-1.3466606,-0.6854243
NON AI COVER_8_265.wav,NON AI COVER,0.13057596371882085,3128.510280587081,2833.262896145604,6535.3271484375,11.9300585,55.13024,-3.241921,21.543127,0.312474,16.538155,1.4796122,11.7481985,3.7118835,12.028612,2.9585865,8.395308,2.735179,5.914887,3.255335,6.8876944,2.8292522,5.4363823,-0.3366382,3.7174559
NON AI COVER_19_59.wav,NON AI COVER,0.1532154195011338,3427.214724265094,3271.0921282467466,7724.139404296875,-35.52206,54.281303,30.98311,21.288094,8.565988,-5.3198786,6.3753753,9.633048,-14.486848,-8.390157,-0.8230971,-3.0440388,6.505103,-2.2219617,-11.003596,-5.293227,-12.418097,-6.140228,-3.7725382,-6.6984477
NON AI COVER_19_174.wav,NON AI COVER,0.058222222222222224,1046.9060810991448,1549.1289785407075,1709.1481526692708,-257.65735,160.18265,11.095751,-2.3934312,40.24121,11.480294,4.6808033,0.58908,4.2798433,7.9663305,4.3409386,7.655596,-8.493269,-4.3764734,4.239004,7.770712,-1.234623,-0.5784637,-13.346727,-2.0020266
NON AI COVER_19_8.wav,NON AI COVER,0.09810430839002268,2145.516581883918,2359.2830852272805,4263.3249918619795,-32.605984,98.03576,-23.713575,15.989912,28.731443,8.623106,-6.6901217,5.2613854,2.43237,9.104693,3.5427258,-0.8409582,-2.469682,-0.98379314,-6.323467,-1.0087662,-3.448465,1.9304992,-1.6489378,0.47608513
NON AI COVER_18_88.wav,NON AI COVER,0.1168798185941043,2449.22525753952,2428.7930129413317,5170.361328125,46.39541,90.91202,-5.2699943,33.48963,-10.587156,4.3049345,-13.403038,8.138985,-11.378798,2.5977094,-9.985089,-0.12372476,-8.276628,2.6150117,-6.1887693,1.9262195,-8.607665,-2.4974873,-8.344148,-2.2533567
NON AI COVER_23_108.wav,NON AI COVER,0.13875736961451246,2389.8439525133126,2125.4617283494704,4336.2986246744795,-7.418452,84.042625,-42.09819,38.455315,-0.3148066,8.667481,7.379156,13.227598,-5.903541,5.449378,-0.3226038,-3.0389175,-4.3381906,-3.5700545,-10.298586,0.1750138,-12.355894,-2.9144359,-7.1424437,-7.057555
NON AI COVER_24_22.wav,NON AI COVER,0.12830839002267574,1782.9624691084696,1611.8854838402601,2819.354248046875,-408.81323,124.39406,-68.937294,-1.0440851,7.7799892,-10.075661,-8.141865,-3.0442123,-7.4996133,-2.2509246,6.8302236,3.4057372,0.53790575,8.79972,0.12328635,2.3678832,-2.473856,3.8389957,-0.06269342,3.9291174
NON AI COVER_8_269.wav,NON AI COVER,0.08654875283446713,1768.8523397735134,1965.5111767041813,3324.9359130859375,-106.118866,122.59115,-20.979519,9.069102,11.057429,11.231366,11.4928875,4.003613,-6.5134187,-1.3459659,-5.377947,0.9183532,-4.4007416,-2.1273024,-8.562107,-1.347706,-9.237171,-2.1754127,-13.178722,-4.9933925
NON AI COVER_19_118.wav,NON AI COVER,0.1332607709750567,2657.011987983483,2503.5789985167607,5488.57421875,-26.233541,75.51756,-7.0617237,30.681215,-5.5840516,4.7053704,-6.031491,8.982108,-5.605972,6.023431,-2.5559855,-2.4971128,-0.8071517,-0.86215985,-1.1295581,3.0475814,-6.4213085,1.6172739,-4.917099,-5.0757365
NON AI COVER_9_72.wav,NON AI COVER,0.15198185941043083,2549.6749761179467,2193.613580596566,4905.8319091796875,-79.21685,78.37679,-46.872562,2.4873781,-33.39051,2.558336,-17.887247,-1.315159,-23.834053,0.44024333,-6.192227,5.172262,-10.772808,-2.997832,-11.768275,-2.8277466,-15.230798,-2.1888623,-10.337928,-0.7062816
NON AI COVER_10_3.wav,NON AI COVER,0.06369160997732426,1557.016423533965,1794.962625410024,3152.171834309896,-58.004246,126.79618,-30.648813,41.187344,1.5370775,6.3771915,-4.568387,6.165452,-15.403688,-0.6190272,1.2699469,-9.536829,-3.1295729,-2.9099426,-7.1727114,0.4141043,-9.53994,3.0772634,-4.556454,-2.2072375
NON AI COVER_8_27.wav,NON AI COVER,0.0892517006802721,2577.1492745968485,2625.168696124579,5467.7886962890625,-83.43248,70.523964,-1.9563324,19.506493,12.245418,11.082453,2.6790915,11.73487,9.78351,9.631817,1.0753748,4.4289308,-0.66502607,1.1795354,-6.646726,0.380792,-5.585596,3.9146662,10.52014,14.519421
NON AI COVER_18_51.wav,NON AI COVER,0.1375328798185941,2577.244827748782,2479.8434596750935,5417.195638020833,-50.70034,82.74884,-8.724017,20.645296,-11.474496,6.2613897,-5.5201745,4.079053,-9.906852,5.4852843,0.9089655,-2.4481702,-3.627748,1.3509265,-6.6848726,-0.23881464,-7.0575314,1.0602565,-3.8138144,-5.139636
NON AI COVER_23_321.wav,NON AI COVER,0.1581768707482993,3032.8462360388116,2586.8414198520313,5919.337972005208,-90.90424,45.3976,-13.557307,54.874928,19.188892,10.288962,-1.0150487,15.682701,-0.075344086,4.9322515,4.222007,3.8332124,-2.125226,-1.158663,-5.542979,3.151581,-2.7595303,-0.6936073,-1.1102246,-3.3388505
NON AI COVER_8_260.wav,NON AI COVER,0.22946938775510203,3483.4878361255946,2502.268323429154,6256.691487630208,-80.276474,33.960117,-39.342796,-0.56585664,-27.453165,-8.68832,-14.679336,-8.581386,-8.159503,-10.707942,-5.50667,-5.753897,-9.983967,5.8022304,-7.471983,1.4515535,-5.0458455,-5.6984625,-8.143594,-6.9225454
NON AI COVER_10_23.wav,NON AI COVER,0.07268934240362812,1654.4971562558133,1950.166570463248,3317.359415690104,-124.17173,123.42402,-10.383329,31.096622,7.8231974,5.873888,-2.6613848,4.2540383,-11.126495,5.289657,0.56801057,0.23527612,-0.48694095,4.942463,-0.04661475,3.5214949,-9.125861,6.5595512,-3.1576934,-1.5725015
NON AI COVER_24_70.wav,NON AI COVER,0.0981859410430839,2243.40154800057,2397.968754552908,4839.687093098958,-162.74744,91.61405,-5.6664762,33.679035,-0.6717948,10.810743,-4.9139028,4.729566,-7.861948,4.298646,-6.060856,0.9448803,-7.0458317,1.6615713,-6.8366947,1.2289436,-8.71573,-2.8605626,-9.258156,-2.548055
NON AI COVER_8_97.wav,NON AI COVER,0.09100226757369614,2137.1472629742284,2314.6097137656056,4748.2208251953125,-41.911057,95.8326,-13.283806,39.37689,5.3486238,21.734774,4.517885,5.4510584,14.758934,11.0784,-9.096682,2.315791,-5.77221,0.41558555,8.627538,4.7771387,2.2444007,2.613548,-3.9159994,1.4233791
NON AI COVER_8_79.wav,NON AI COVER,0.0875374149659864,2439.7046425768635,2636.2004473689894,5366.453043619792,0.8524611,70.05211,0.5925359,36.828922,9.204563,18.050367,9.238844,14.864937,10.0736265,13.6007395,2.2601304,8.502408,4.9599347,9.348243,1.0849925,2.8359785,-1.1056608,-0.35812265,-2.7856212,8.671974
NON AI COVER_24_32.wav,NON AI COVER,0.10258503401360544,1567.3585646073936,1331.1196341384452,2612.147013346354,-384.05508,128.26437,-62.56875,7.848657,4.510163,1.7798822,7.5092063,-0.039925188,-2.215108,9.728307,8.948338,4.0517683,-0.4387221,-2.6189513,-2.2263522,2.262872,-1.4652143,2.9580877,0.3034968,-11.192167
NON AI COVER_24_267.wav,NON AI COVER,0.06817233560090703,1523.8629232461983,2159.099178601351,3313.720703125,-225.18654,124.53158,25.575735,18.154976,0.96509594,15.845893,20.068481,13.222721,6.5043926,6.792344,-3.2414074,-4.629182,1.7086922,7.1554327,-7.6846714,8.744139,2.6022875,6.3886313,-1.3104963,6.761368
NON AI COVER_17_71.wav,NON AI COVER,0.2786666666666667,3912.8310262685904,2904.5275453972827,7542.303466796875,30.01741,27.805338,-14.519726,24.401793,17.086052,3.5859756,8.771953,0.1771758,-9.7846365,7.8731894,4.0903225,4.6045804,3.6722147,-4.612028,-2.7803576,5.3493643,-7.8580284,4.2813783,1.4246445,2.6396122
NON AI COVER_23_62.wav,NON AI COVER,0.23936507936507936,4131.434985895096,2903.7508218045546,7521.4182535807295,-19.857698,11.788678,4.9877095,45.63588,13.9589615,20.324657,7.971417,16.866373,7.840463,11.930924,1.7325716,7.1209636,1.6697396,2.6908174,1.073554,3.7194326,-3.4329784,2.7684648,0.74142927,2.0038593
NON AI COVER_9_28.wav,NON AI COVER,0.09892063492063492,1993.3797173415035,2086.491140460816,4053.575642903646,-68.80942,109.69283,-20.375856,32.89231,-9.040386,3.6675828,-6.8640203,12.799592,-14.144782,7.1723247,-4.33141,-4.766684,-4.3702555,4.6247897,-3.8263333,5.7207837,-8.734636,-1.8312215,0.88742405,4.8214874
NON AI COVER_24_257.wav,NON AI COVER,0.02820861678004535,752.57001967122,1277.155993854634,1297.1761067708333,-339.17426,174.11516,13.335911,44.249756,10.1145525,7.5639253,-2.3682277,-2.9069192,-7.2621255,-2.6667705,-0.92414516,9.966033,5.0664344,0.840502,-7.2024026,-5.046464,-3.0059266,-0.9465719,-2.0131168,-1.7947626
NON AI COVER_10_43.wav,NON AI COVER,0.0610702947845805,1787.0816851358463,2386.0310052434907,4348.5107421875,-87.488266,111.74383,29.268225,17.011177,-14.812681,0.21895522,-22.168966,4.810448,-2.8817947,13.182536,3.8645024,9.333385,-2.3529317,-1.1462815,-13.084562,-7.737775,-9.5265255,-2.5333104,-3.8612278,3.9796832
